"paper","experiment","k","Q","calpha0","p0","mdh0","calpha25","p25","mdh25","calpha33","p33","mdh33","calpha67","p67","mdh67","replicated","cirep","meta","es","exp_name","vbar","v0"
"rpp",1,2,3.3290239350587,3.84145882069418,0.0680672580303274,7.849,4.75884383138652,0.102706064627378,9.139,5.04323657468101,0.114314890091619,9.53133333333333,6.08289572202274,0.160844076862995,10.9426666666667,0,0,1,"z","Tracing attention and the activation flow in spoken word planning using eye movements.",0.0430402930402931,0.0476190476190476
"rpp",2,2,2.38840403408523,3.84145882069418,0.122238366640923,7.849,4.75884383138652,0.168313833832719,9.139,5.04323657468101,0.18338367913435,9.53133333333333,6.08289572202274,0.242105956259266,10.9426666666667,0,0,1,"z","Now you see it, now you don't: repetition blindness for nonwords",0.0476190476190476,0.0476190476190476
"rpp",3,2,5.65624382967334,3.84145882069418,0.0173933342234303,7.849,4.75884383138652,0.0321702450133665,9.139,5.04323657468101,0.0374166375927586,9.53133333333333,6.08289572202274,0.0598684955429345,10.9426666666667,0,0,0,"z","Working memory costs of task switching.",0.0399686520376176,0.0454545454545455
"rpp",4,2,7.16979663394218,3.84145882069418,0.00741411793984237,7.849,4.75884383138652,0.0154585171635556,9.139,5.04323657468101,0.0184183133573469,9.53133333333333,6.08289572202274,0.0315992190819624,10.9426666666667,0,0,1,"z","Accelerated relearning after retrieval-induced forgetting: The benefit of being forgotten.",0.00398236381738017,0.00421940928270042
"rpp",5,2,2.3279252978835,3.84145882069418,0.127071138196964,7.849,4.75884383138652,0.173898774064641,9.139,5.04323657468101,0.18919030549663,9.53133333333333,6.08289572202274,0.248666290824401,10.9426666666667,0,0,1,"z","The intermixed-blocked effect in human perceptual learning is not the consequence of trial spacing.",0.028352490421456,0.0344827586206897
"rpp",6,2,0.865696092208241,3.84145882069418,0.35214957439965,7.849,4.75884383138652,0.409739320475022,9.139,5.04323657468101,0.427820772702626,9.53133333333333,6.08289572202274,0.494971334503253,10.9426666666667,1,1,1,"z","A single-system account of the relationship between priming, recognition, and fluency.",0.0410509031198687,0.0476190476190476
"rpp",7,2,6.25703323500643,3.84145882069418,0.0123701188262616,7.849,4.75884383138652,0.024017992633372,9.139,5.04323657468101,0.0282131157970671,9.53133333333333,6.08289572202274,0.0464564803990335,10.9426666666667,0,0,1,"z","Modeling distributions of immediate memory effects: No strategies needed?",0.0468213058419244,0.0103092783505155
"rpp",8,2,9.10606112218771,3.84145882069418,0.00254763880476105,7.849,4.75884383138652,0.00612516408728514,9.139,5.04323657468101,0.00750025752718153,9.53133333333333,6.08289572202274,0.0139264710202995,10.9426666666667,0,0,1,"z","Stereotypes and retrieval-provoked illusory source recollections.",0.0305555555555556,0.0277777777777778
"rpp",10,2,0.483956933991494,3.84145882069418,0.486635433945665,7.849,4.75884383138652,0.53834683692807,9.139,5.04323657468101,0.554412510537322,9.53133333333333,6.08289572202274,0.613331477674746,10.9426666666667,1,1,1,"z","Across-notation automatic numerical processing.",0.0344827586206897,0.0344827586206897
"rpp",11,2,1.06495366026354,3.84145882069418,0.302088082869477,7.849,4.75884383138652,0.360140222132252,9.139,5.04323657468101,0.378466496997194,9.53133333333333,6.08289572202274,0.44696843936311,10.9426666666667,1,1,1,"z","Attractor dynamics and semantic neighborhood density: Processing is slowed by near neighbors and speeded by distant neighbors.",0.0448343079922027,0.0526315789473684
"rpp",15,2,0.196690144194222,3.84145882069418,0.657405836040046,7.849,4.75884383138652,0.69524241238091,9.139,5.04323657468101,0.706903705099425,9.53133333333333,6.08289572202274,0.749261115187724,10.9426666666667,1,1,1,"z","The Stroop effect: Why proportion congruent has nothing to do with congruency and everything to do with contingency.",0.00752683281790067,0.0108695652173913
"rpp",19,2,0.478665182123914,3.84145882069418,0.489027557145581,7.849,4.75884383138652,0.540586164402568,9.139,5.04323657468101,0.556602014774438,9.53133333333333,6.08289572202274,0.615327933116792,10.9426666666667,0,1,1,"z","How to say no: Single-and dual-process theories of short-term recognition tested on negative probes.",0.0450191570881227,0.0344827586206897
"rpp",20,2,2.14471005259313,3.84145882069418,0.143062062372239,7.849,4.75884383138652,0.192139009252026,9.139,5.04323657468101,0.208087802512152,9.53133333333333,6.08289572202274,0.2697717434857,10.9426666666667,0,0,0,"z","Intentional forgetting is easier after two ""shots"" than one.",0.0101382488479263,0.010752688172043
"rpp",24,2,0.278372981643628,3.84145882069418,0.597769610386679,7.849,4.75884383138652,0.641052859782446,9.139,5.04323657468101,0.65442332932905,9.53133333333333,6.08289572202274,0.703122530310255,10.9426666666667,1,1,1,"z","Priming addition facts with semantic relations.",0.014180823495537,0.00662251655629139
